art_id,ann,criteriaID,annotation
2,Ann. 2,NegTarg1,1.0
2,Ann. 1,ArtBias,2.0
2,Ann. 2,ArtBias,3.0
2,Ann. 1,LedePres,1.0
2,Ann. 2,LedePres,1.0
2,Ann. 2,SensLang,3.0
2,Ann. 1,SensLang,2.0
2,Ann. 1,HeadAcc1,3.0
2,Ann. 2,HeadAcc1,4.0
2,Ann. 1,NegTarg1,1.0
2,Ann. 2,Type,3.0
2,Ann. 1,NegTarg2,[]
2,Ann. 1,Type,3.0
2,Ann. 2,NegTarg2,[]
3,Ann. 2,NegTarg2,[]
3,Ann. 3,ArtBias,3.0
3,Ann. 2,ArtBias,3.0
3,Ann. 3,LedePres,2.0
3,Ann. 2,SensLang,3.0
3,Ann. 3,SensLang,3.0
3,Ann. 3,NegTarg2,[]
3,Ann. 2,NegTarg1,1.0
3,Ann. 3,NegTarg1,1.0
3,Ann. 2,Type,1.0
3,Ann. 3,Type,1.0
3,Ann. 2,LedePres,2.0
3,Ann. 3,HeadAcc1,4.0
3,Ann. 2,HeadAcc1,4.0
4,Ann. 3,NegTarg1,1.0
4,Ann. 2,HeadAcc1,4.0
4,Ann. 2,LedePres,2.0
4,Ann. 3,HeadAcc1,4.0
4,Ann. 3,SensLang,4.0
4,Ann. 2,SensLang,3.0
4,Ann. 2,ArtBias,3.0
4,Ann. 3,ArtBias,4.0
4,Ann. 2,NegTarg2,[]
4,Ann. 3,NegTarg2,[]
4,Ann. 2,NegTarg1,1.0
4,Ann. 3,Type,1.0
4,Ann. 3,LedePres,1.0
4,Ann. 2,Type,1.0
5,Ann. 2,SensLang,2.0
5,Ann. 2,ArtBias,3.0
5,Ann. 2,Type,1.0
5,Ann. 2,NegTarg2,[]
5,Ann. 2,LedePres,1.0
5,Ann. 2,NegTarg1,1.0
5,Ann. 2,HeadAcc1,3.0
6,Ann. 3,Type,3.0
6,Ann. 1,SensLang,4.0
6,Ann. 3,NegTarg2,[]
6,Ann. 1,NegTarg2,[]
6,Ann. 1,LedePres,1.0
6,Ann. 1,HeadAcc1,3.0
6,Ann. 3,HeadAcc1,3.0
6,Ann. 3,ArtBias,4.0
6,Ann. 1,NegTarg1,1.0
6,Ann. 3,SensLang,4.0
6,Ann. 3,LedePres,1.0
6,Ann. 3,NegTarg1,1.0
6,Ann. 1,Type,3.0
6,Ann. 1,ArtBias,4.0
7,Ann. 3,NegTarg1,1.0
7,Ann. 3,ArtBias,4.0
7,Ann. 3,Type,1.0
7,Ann. 2,ArtBias,4.0
7,Ann. 3,NegTarg2,[]
7,Ann. 2,SensLang,4.0
7,Ann. 3,SensLang,4.0
7,Ann. 2,NegTarg1,1.0
7,Ann. 2,HeadAcc1,4.0
7,Ann. 3,HeadAcc1,4.0
7,Ann. 2,NegTarg2,[]
7,Ann. 2,LedePres,2.0
7,Ann. 3,LedePres,2.0
7,Ann. 2,Type,1.0
8,Ann. 3,NegTarg2,[]
8,Ann. 3,Type,1.0
8,Ann. 2,ArtBias,4.0
8,Ann. 2,HeadAcc1,4.0
8,Ann. 2,SensLang,4.0
8,Ann. 3,ArtBias,4.0
8,Ann. 3,HeadAcc1,4.0
8,Ann. 2,LedePres,2.0
8,Ann. 3,LedePres,2.0
8,Ann. 3,SensLang,4.0
8,Ann. 2,NegTarg1,1.0
8,Ann. 3,NegTarg1,1.0
8,Ann. 2,NegTarg2,[]
8,Ann. 2,Type,1.0
9,Ann. 3,Type,3.0
9,Ann. 1,NegTarg1,1.0
9,Ann. 3,NegTarg1,2.0
9,Ann. 3,NegTarg2,['4']
9,Ann. 3,HeadAcc1,2.0
9,Ann. 1,HeadAcc1,2.0
9,Ann. 3,SensLang,4.0
9,Ann. 1,SensLang,4.0
9,Ann. 1,LedePres,1.0
9,Ann. 3,LedePres,1.0
9,Ann. 1,ArtBias,4.0
9,Ann. 1,NegTarg2,[]
9,Ann. 1,Type,3.0
9,Ann. 3,ArtBias,3.0
10,Ann. 2,NegTarg2,['4']
10,Ann. 3,SensLang,4.0
10,Ann. 3,NegTarg1,1.0
10,Ann. 3,ArtBias,4.0
10,Ann. 2,ArtBias,3.0
10,Ann. 2,NegTarg1,2.0
10,Ann. 3,Type,1.0
10,Ann. 2,Type,1.0
10,Ann. 3,HeadAcc1,3.0
10,Ann. 2,HeadAcc1,3.0
10,Ann. 3,LedePres,1.0
10,Ann. 2,LedePres,1.0
10,Ann. 3,NegTarg2,[]
10,Ann. 2,SensLang,4.0
11,Ann. 1,LedePres,2.0
11,Ann. 3,Type,1.0
11,Ann. 1,Type,1.0
11,Ann. 1,HeadAcc1,3.0
11,Ann. 3,HeadAcc1,4.0
11,Ann. 3,ArtBias,4.0
11,Ann. 3,LedePres,2.0
11,Ann. 1,ArtBias,4.0
11,Ann. 1,NegTarg2,[]
11,Ann. 3,NegTarg2,[]
11,Ann. 3,NegTarg1,1.0
11,Ann. 3,SensLang,4.0
11,Ann. 1,SensLang,4.0
11,Ann. 1,NegTarg1,1.0
12,Ann. 3,LedePres,1.0
12,Ann. 3,HeadAcc1,3.0
12,Ann. 1,HeadAcc1,3.0
12,Ann. 1,NegTarg1,2.0
12,Ann. 1,NegTarg2,['4']
12,Ann. 3,NegTarg2,['4']
12,Ann. 1,LedePres,2.0
12,Ann. 1,ArtBias,3.0
12,Ann. 3,ArtBias,3.0
12,Ann. 3,Type,3.0
12,Ann. 3,SensLang,2.0
12,Ann. 3,NegTarg1,2.0
12,Ann. 1,Type,2.0
12,Ann. 1,SensLang,2.0
13,Ann. 2,Type,1.0
13,Ann. 3,LedePres,1.0
13,Ann. 2,LedePres,2.0
13,Ann. 3,Type,1.0
13,Ann. 2,NegTarg2,[]
13,Ann. 3,NegTarg2,[]
13,Ann. 3,HeadAcc1,4.0
13,Ann. 2,HeadAcc1,3.0
13,Ann. 2,SensLang,4.0
13,Ann. 3,NegTarg1,1.0
13,Ann. 3,ArtBias,4.0
13,Ann. 2,ArtBias,4.0
13,Ann. 2,NegTarg1,1.0
13,Ann. 3,SensLang,4.0
14,Ann. 2,NegTarg2,[]
14,Ann. 2,HeadAcc1,3.0
14,Ann. 3,HeadAcc1,3.0
14,Ann. 3,NegTarg2,[]
14,Ann. 3,SensLang,3.0
14,Ann. 2,SensLang,4.0
14,Ann. 2,NegTarg1,1.0
14,Ann. 2,Type,1.0
