art_id,criteriaID,human_annotation,human_annotation2,gpt_annotation,expost_groundtruth,to_annotate,human_annotation_verbose,human_annotation2_verbose,gpt_annotation_verbose,borderline,motivation
2,ArtBias,2,3,2,,False,Abbastanza di parte,Abbastanza imparziale,Abbastanza di parte,False,
2,HeadAcc1,4,3,3,,False,Accurato,Abbastanza accurato,Abbastanza accurato,False,
2,SensLang,3,2,2,,False,Abbastanza neutro,Abbastanza sensazionale,Abbastanza sensazionale,False,
4,ArtBias,3,4,3,,False,Abbastanza imparziale,Imparziale,Abbastanza imparziale,False,
4,LedePres,2,1,2,,True,Si,No,Si,False,
4,SensLang,4,3,3,,False,Neutro,Abbastanza neutro,Abbastanza neutro,False,
9,NegTarg2,[],['4'],['1'],,True,"{'1': 'Politica', '2': 'Gender', '3': 'Religione', '4': 'Altro'}","{'1': 'Politica', '2': 'Gender', '3': 'Religione', '4': 'Altro'}","{'1': 'Politica', '2': 'Gender', '3': 'Religione', '4': 'Altro'}",False,LLM INCORRECT
9,ArtBias,4,3,3,,False,Imparziale,Abbastanza imparziale,Abbastanza imparziale,False,
9,NegTarg1,2,1,1,,True,Si,No,No,False,LLM CORRECT
10,ArtBias,4,3,3,,False,Imparziale,Abbastanza imparziale,Abbastanza imparziale,False,
10,NegTarg2,[],['4'],['4'],,True,"{'1': 'Politica', '2': 'Gender', '3': 'Religione', '4': 'Altro'}","{'1': 'Politica', '2': 'Gender', '3': 'Religione', '4': 'Altro'}","{'1': 'Politica', '2': 'Gender', '3': 'Religione', '4': 'Altro'}",False,LLM INCORRECT
10,NegTarg1,2,1,1,,True,Si,No,No,False,LLM CORRECT
11,HeadAcc1,4,3,4,,False,Accurato,Abbastanza accurato,Accurato,False,
12,Type,3,2,1,,True,Inchiesta,Editoriale o opinione,"Notizia di cronaca, attualita’, notizia che riguarda il paese o notizia internazionale",False,
12,LedePres,2,1,1,,True,Si,No,No,False,
13,LedePres,1,2,2,,True,No,Si,Si,False,
13,HeadAcc1,4,3,4,,False,Accurato,Abbastanza accurato,Accurato,False,
14,SensLang,4,3,3,,False,Neutro,Abbastanza neutro,Abbastanza neutro,False,
15,SensLang,3,2,1,,False,Abbastanza neutro,Abbastanza sensazionale,Sensazionale,False,
16,HeadAcc1,4,1,4,4.0,True,Accurato,Non accurato,Accurato,False,
16,LedePres,2,1,2,,True,Si,No,Si,False,
18,LedePres,2,1,1,,True,Si,No,No,False,
18,ArtBias,4,3,4,,False,Imparziale,Abbastanza imparziale,Imparziale,False,
18,HeadAcc1,4,3,3,,False,Accurato,Abbastanza accurato,Abbastanza accurato,False,
19,NegTarg2,[],['1'],['4'],,True,"{'1': 'Politica', '2': 'Gender', '3': 'Religione', '4': 'Altro'}","{'1': 'Politica', '2': 'Gender', '3': 'Religione', '4': 'Altro'}","{'1': 'Politica', '2': 'Gender', '3': 'Religione', '4': 'Altro'}",False,LLM CORRECT
19,HeadAcc1,2,3,4,,False,Abbastanza inaccurato,Abbastanza accurato,Accurato,False,
19,SensLang,3,2,3,,False,Abbastanza neutro,Abbastanza sensazionale,Abbastanza neutro,False,
20,HeadAcc1,4,3,4,,False,Accurato,Abbastanza accurato,Accurato,False,
20,SensLang,4,3,3,,False,Neutro,Abbastanza neutro,Abbastanza neutro,False,
20,NegTarg2,[],['2'],['-1'],,True,"{'1': 'Politica', '2': 'Gender', '3': 'Religione', '4': 'Altro'}","{'1': 'Politica', '2': 'Gender', '3': 'Religione', '4': 'Altro'}","{'1': 'Politica', '2': 'Gender', '3': 'Religione', '4': 'Altro'}",False,LLM CORRECT
20,LedePres,2,1,2,,True,Si,No,Si,False,
22,HeadAcc1,4,3,4,,False,Accurato,Abbastanza accurato,Accurato,False,
22,NegTarg2,[],['1'],['-1'],,True,"{'1': 'Politica', '2': 'Gender', '3': 'Religione', '4': 'Altro'}","{'1': 'Politica', '2': 'Gender', '3': 'Religione', '4': 'Altro'}","{'1': 'Politica', '2': 'Gender', '3': 'Religione', '4': 'Altro'}",False,LLM CORRECT
23,Type,3,1,1,,True,Inchiesta,"Notizia di cronaca, attualita’, notizia che riguarda il paese o notizia internazionale","Notizia di cronaca, attualita’, notizia che riguarda il paese o notizia internazionale",False,
23,LedePres,1,2,2,,True,No,Si,Si,False,
23,HeadAcc1,4,3,4,,False,Accurato,Abbastanza accurato,Accurato,False,
24,LedePres,2,1,2,,True,Si,No,Si,False,
24,ArtBias,4,3,2,,False,Imparziale,Abbastanza imparziale,Abbastanza di parte,False,
25,ArtBias,4,3,3,,False,Imparziale,Abbastanza imparziale,Abbastanza imparziale,False,
25,HeadAcc1,4,3,4,,False,Accurato,Abbastanza accurato,Accurato,False,
27,HeadAcc1,4,3,4,,False,Accurato,Abbastanza accurato,Accurato,False,
27,SensLang,4,3,4,,False,Neutro,Abbastanza neutro,Neutro,False,
28,HeadAcc1,3,2,4,,False,Abbastanza accurato,Abbastanza inaccurato,Accurato,False,
28,NegTarg2,['4'],['2'],['2'],,True,"{'1': 'Politica', '2': 'Gender', '3': 'Religione', '4': 'Altro'}","{'1': 'Politica', '2': 'Gender', '3': 'Religione', '4': 'Altro'}","{'1': 'Politica', '2': 'Gender', '3': 'Religione', '4': 'Altro'}",False,LLM CORRECT
29,LedePres,2,1,2,,True,Si,No,Si,False,
30,ArtBias,4,3,4,,False,Imparziale,Abbastanza imparziale,Imparziale,False,
31,NegTarg2,[],['4'],['1'],,True,"{'1': 'Politica', '2': 'Gender', '3': 'Religione', '4': 'Altro'}","{'1': 'Politica', '2': 'Gender', '3': 'Religione', '4': 'Altro'}","{'1': 'Politica', '2': 'Gender', '3': 'Religione', '4': 'Altro'}",False,LLM CORRECT
33,LedePres,2,1,1,,True,Si,No,No,False,
34,HeadAcc1,2,3,3,,False,Abbastanza inaccurato,Abbastanza accurato,Abbastanza accurato,False,
34,LedePres,2,1,1,,True,Si,No,No,False,
36,ArtBias,3,4,3,,False,Abbastanza imparziale,Imparziale,Abbastanza imparziale,False,
36,HeadAcc1,4,3,4,,False,Accurato,Abbastanza accurato,Accurato,False,
36,SensLang,4,3,3,,False,Neutro,Abbastanza neutro,Abbastanza neutro,False,
36,Type,5,1,5,,True,Notizia di costume o cronaca rosa,"Notizia di cronaca, attualita’, notizia che riguarda il paese o notizia internazionale",Notizia di costume o cronaca rosa,False,
37,ArtBias,4,2,3,3.0,True,Imparziale,Abbastanza di parte,Abbastanza imparziale,False,llm assegna un bias che è la media delle due valutazioni
37,SensLang,4,1,2,2.0,True,Neutro,Sensazionale,Abbastanza sensazionale,False,Le dichiarazioni forti e le risposte pungenti sono riportate in modo da attirare l'attenzione del lettore e suscitare emozioni.
37,NegTarg2,[],['4'],['1'],,True,"{'1': 'Politica', '2': 'Gender', '3': 'Religione', '4': 'Altro'}","{'1': 'Politica', '2': 'Gender', '3': 'Religione', '4': 'Altro'}","{'1': 'Politica', '2': 'Gender', '3': 'Religione', '4': 'Altro'}",False,LLM CORRECT
37,HeadAcc1,3,2,3,,False,Abbastanza accurato,Abbastanza inaccurato,Abbastanza accurato,False,
37,NegTarg1,2,1,1,,True,Si,No,No,False,LLM INCORRECT
38,LedePres,2,1,2,,True,Si,No,Si,False,
39,SensLang,4,3,3,,False,Neutro,Abbastanza neutro,Abbastanza neutro,False,
41,NegTarg1,1,2,1,,True,No,Si,No,False,LLM INCORRECT
41,HeadAcc1,3,4,4,,False,Abbastanza accurato,Accurato,Accurato,False,
41,NegTarg2,[],['4'],['2'],,True,"{'1': 'Politica', '2': 'Gender', '3': 'Religione', '4': 'Altro'}","{'1': 'Politica', '2': 'Gender', '3': 'Religione', '4': 'Altro'}","{'1': 'Politica', '2': 'Gender', '3': 'Religione', '4': 'Altro'}",False,LLM CORRECT
42,HeadAcc1,4,3,4,,False,Accurato,Abbastanza accurato,Accurato,False,
42,SensLang,3,2,2,,False,Abbastanza neutro,Abbastanza sensazionale,Abbastanza sensazionale,False,
44,HeadAcc1,3,4,4,,False,Abbastanza accurato,Accurato,Accurato,False,
46,SensLang,3,4,3,,False,Abbastanza neutro,Neutro,Abbastanza neutro,False,
46,HeadAcc1,3,4,4,,False,Abbastanza accurato,Accurato,Accurato,False,
49,NegTarg2,['4'],[],['1'],,True,"{'1': 'Politica', '2': 'Gender', '3': 'Religione', '4': 'Altro'}","{'1': 'Politica', '2': 'Gender', '3': 'Religione', '4': 'Altro'}","{'1': 'Politica', '2': 'Gender', '3': 'Religione', '4': 'Altro'}",False,LLM INCORRECT
50,LedePres,1,2,1,,True,No,Si,No,False,
51,ArtBias,4,3,3,,False,Imparziale,Abbastanza imparziale,Abbastanza imparziale,False,
52,LedePres,1,2,1,,True,No,Si,No,False,
54,Type,4,3,3,,True,Satira,Inchiesta,Inchiesta,False,
54,LedePres,2,1,1,,True,Si,No,No,False,
55,ArtBias,3,4,4,,False,Abbastanza imparziale,Imparziale,Imparziale,False,
55,HeadAcc1,3,4,4,,False,Abbastanza accurato,Accurato,Accurato,False,
55,LedePres,2,1,2,,True,Si,No,Si,False,
57,ArtBias,4,3,3,,False,Imparziale,Abbastanza imparziale,Abbastanza imparziale,False,
59,SensLang,3,2,3,,False,Abbastanza neutro,Abbastanza sensazionale,Abbastanza neutro,False,
59,HeadAcc1,3,2,3,,False,Abbastanza accurato,Abbastanza inaccurato,Abbastanza accurato,False,
61,ArtBias,4,3,4,,False,Imparziale,Abbastanza imparziale,Imparziale,False,
61,HeadAcc1,3,4,4,,False,Abbastanza accurato,Accurato,Accurato,False,
62,Type,5,2,2,,True,Notizia di costume o cronaca rosa,Editoriale o opinione,Editoriale o opinione,False,
62,SensLang,4,3,4,,False,Neutro,Abbastanza neutro,Neutro,False,
62,HeadAcc1,3,2,3,,False,Abbastanza accurato,Abbastanza inaccurato,Abbastanza accurato,False,
65,SensLang,4,3,3,,False,Neutro,Abbastanza neutro,Abbastanza neutro,False,
65,HeadAcc1,3,4,3,,False,Abbastanza accurato,Accurato,Abbastanza accurato,False,
66,HeadAcc1,4,3,4,,False,Accurato,Abbastanza accurato,Accurato,False,
66,LedePres,2,1,1,,True,Si,No,No,False,
67,HeadAcc1,3,4,3,,False,Abbastanza accurato,Accurato,Abbastanza accurato,False,
67,SensLang,4,3,3,,False,Neutro,Abbastanza neutro,Abbastanza neutro,False,
68,HeadAcc1,3,2,3,,False,Abbastanza accurato,Abbastanza inaccurato,Abbastanza accurato,False,
68,Type,2,1,1,,True,Editoriale o opinione,"Notizia di cronaca, attualita’, notizia che riguarda il paese o notizia internazionale","Notizia di cronaca, attualita’, notizia che riguarda il paese o notizia internazionale",False,
68,ArtBias,3,2,1,,False,Abbastanza imparziale,Abbastanza di parte,Di parte,False,
69,NegTarg1,2,1,1,,True,Si,No,No,False,LLM CORRECT
69,LedePres,2,1,2,,True,Si,No,Si,False,
69,NegTarg2,[],['4'],['4'],,True,"{'1': 'Politica', '2': 'Gender', '3': 'Religione', '4': 'Altro'}","{'1': 'Politica', '2': 'Gender', '3': 'Religione', '4': 'Altro'}","{'1': 'Politica', '2': 'Gender', '3': 'Religione', '4': 'Altro'}",False,LLM INCORRECT
70,HeadAcc1,4,3,4,,False,Accurato,Abbastanza accurato,Accurato,False,
71,HeadAcc1,3,4,4,,False,Abbastanza accurato,Accurato,Accurato,False,
74,NegTarg2,[],['2'],['-1'],,True,"{'1': 'Politica', '2': 'Gender', '3': 'Religione', '4': 'Altro'}","{'1': 'Politica', '2': 'Gender', '3': 'Religione', '4': 'Altro'}","{'1': 'Politica', '2': 'Gender', '3': 'Religione', '4': 'Altro'}",False,LLM CORRECT
75,SensLang,4,3,2,,False,Neutro,Abbastanza neutro,Abbastanza sensazionale,False,
75,Type,2,1,1,,True,Editoriale o opinione,"Notizia di cronaca, attualita’, notizia che riguarda il paese o notizia internazionale","Notizia di cronaca, attualita’, notizia che riguarda il paese o notizia internazionale",False,
75,ArtBias,4,3,3,,False,Imparziale,Abbastanza imparziale,Abbastanza imparziale,False,
75,HeadAcc1,3,4,4,,False,Abbastanza accurato,Accurato,Accurato,False,
75,LedePres,2,1,1,,True,Si,No,No,False,
77,HeadAcc1,3,2,4,,False,Abbastanza accurato,Abbastanza inaccurato,Accurato,False,
77,SensLang,4,3,3,,False,Neutro,Abbastanza neutro,Abbastanza neutro,False,
78,HeadAcc1,4,3,4,,False,Accurato,Abbastanza accurato,Accurato,False,
78,ArtBias,4,3,4,,False,Imparziale,Abbastanza imparziale,Imparziale,False,
79,LedePres,2,1,2,,True,Si,No,Si,False,
80,HeadAcc1,3,4,4,,False,Abbastanza accurato,Accurato,Accurato,False,
80,LedePres,2,1,1,,True,Si,No,No,False,
81,HeadAcc1,4,3,4,,False,Accurato,Abbastanza accurato,Accurato,False,
82,HeadAcc1,2,3,3,,False,Abbastanza inaccurato,Abbastanza accurato,Abbastanza accurato,False,
83,SensLang,4,3,3,,False,Neutro,Abbastanza neutro,Abbastanza neutro,False,
84,HeadAcc1,3,2,3,,False,Abbastanza accurato,Abbastanza inaccurato,Abbastanza accurato,False,
85,SensLang,4,2,3,2.0,True,Neutro,Abbastanza sensazionale,Abbastanza neutro,False,
86,LedePres,2,1,2,,True,Si,No,Si,False,
86,HeadAcc1,4,2,4,2.0,True,Accurato,Abbastanza inaccurato,Accurato,False,sarebbe potuto essere più completo (si parla anche di alcuni dati EU non mensionati nel titolo)
