art_id,criteriaID,human_annotation,human_annotation2,gpt_annotation,expost_groundtruth,to_annotate,human_annotation_verbose,human_annotation2_verbose,gpt_annotation_verbose,borderline
2,SensLang,2,3,2,Empty,False,Abbastanza sensazionale,Abbastanza neutro,Abbastanza sensazionale,Empty
2,HeadAcc1,3,4,3,Empty,False,Abbastanza accurato,Accurato,Abbastanza accurato,Empty
2,ArtBias,3,2,2,Empty,False,Abbastanza imparziale,Abbastanza di parte,Abbastanza di parte,Empty
4,SensLang,3,4,3,Empty,False,Abbastanza neutro,Neutro,Abbastanza neutro,Empty
4,ArtBias,3,4,3,Empty,False,Abbastanza imparziale,Imparziale,Abbastanza imparziale,Empty
4,LedePres,1,2,2,Empty,True,No,Si,Si,Empty
9,NegTarg2,['4'],[],['1'],Empty,True,"{'1': 'Politica', '2': 'Gender', '3': 'Religione', '4': 'Altro'}","{'1': 'Politica', '2': 'Gender', '3': 'Religione', '4': 'Altro'}","{'1': 'Politica', '2': 'Gender', '3': 'Religione', '4': 'Altro'}",Empty
9,NegTarg1,1,2,1,Empty,True,No,Si,No,Empty
9,ArtBias,3,4,3,Empty,False,Abbastanza imparziale,Imparziale,Abbastanza imparziale,Empty
10,NegTarg2,['4'],[],['4'],Empty,True,"{'1': 'Politica', '2': 'Gender', '3': 'Religione', '4': 'Altro'}","{'1': 'Politica', '2': 'Gender', '3': 'Religione', '4': 'Altro'}","{'1': 'Politica', '2': 'Gender', '3': 'Religione', '4': 'Altro'}",Empty
10,NegTarg1,1,2,1,Empty,True,No,Si,No,Empty
10,ArtBias,3,4,3,Empty,False,Abbastanza imparziale,Imparziale,Abbastanza imparziale,Empty
11,HeadAcc1,3,4,4,Empty,False,Abbastanza accurato,Accurato,Accurato,Empty
12,Type,2,3,1,Empty,True,Editoriale o opinione,Inchiesta,"Notizia di cronaca, attualita’, notizia che riguarda il paese o notizia internazionale",Empty
12,LedePres,1,2,1,Empty,True,No,Si,No,Empty
13,HeadAcc1,3,4,4,Empty,False,Abbastanza accurato,Accurato,Accurato,Empty
13,LedePres,1,2,2,Empty,True,No,Si,Si,Empty
14,SensLang,3,4,3,Empty,False,Abbastanza neutro,Neutro,Abbastanza neutro,Empty
15,SensLang,2,3,1,Empty,False,Abbastanza sensazionale,Abbastanza neutro,Sensazionale,Empty
16,HeadAcc1,1,4,4,Empty,True,Non accurato,Accurato,Accurato,Empty
16,LedePres,1,2,2,Empty,True,No,Si,Si,Empty
18,HeadAcc1,3,4,3,Empty,False,Abbastanza accurato,Accurato,Abbastanza accurato,Empty
18,LedePres,1,2,1,Empty,True,No,Si,No,Empty
18,ArtBias,3,4,4,Empty,False,Abbastanza imparziale,Imparziale,Imparziale,Empty
19,SensLang,2,3,3,Empty,False,Abbastanza sensazionale,Abbastanza neutro,Abbastanza neutro,Empty
19,HeadAcc1,2,3,4,Empty,False,Abbastanza inaccurato,Abbastanza accurato,Accurato,Empty
19,NegTarg2,['1'],[],['4'],Empty,True,"{'1': 'Politica', '2': 'Gender', '3': 'Religione', '4': 'Altro'}","{'1': 'Politica', '2': 'Gender', '3': 'Religione', '4': 'Altro'}","{'1': 'Politica', '2': 'Gender', '3': 'Religione', '4': 'Altro'}",Empty
20,SensLang,3,4,3,Empty,False,Abbastanza neutro,Neutro,Abbastanza neutro,Empty
20,NegTarg2,['2'],[],['-1'],Empty,True,"{'1': 'Politica', '2': 'Gender', '3': 'Religione', '4': 'Altro'}","{'1': 'Politica', '2': 'Gender', '3': 'Religione', '4': 'Altro'}","{'1': 'Politica', '2': 'Gender', '3': 'Religione', '4': 'Altro'}",Empty
20,HeadAcc1,3,4,4,Empty,False,Abbastanza accurato,Accurato,Accurato,Empty
20,LedePres,1,2,2,Empty,True,No,Si,Si,Empty
22,HeadAcc1,3,4,4,Empty,False,Abbastanza accurato,Accurato,Accurato,Empty
22,NegTarg2,['1'],[],['-1'],Empty,True,"{'1': 'Politica', '2': 'Gender', '3': 'Religione', '4': 'Altro'}","{'1': 'Politica', '2': 'Gender', '3': 'Religione', '4': 'Altro'}","{'1': 'Politica', '2': 'Gender', '3': 'Religione', '4': 'Altro'}",Empty
23,Type,1,3,1,Empty,True,"Notizia di cronaca, attualita’, notizia che riguarda il paese o notizia internazionale",Inchiesta,"Notizia di cronaca, attualita’, notizia che riguarda il paese o notizia internazionale",Empty
23,LedePres,1,2,2,Empty,True,No,Si,Si,Empty
23,HeadAcc1,3,4,4,Empty,False,Abbastanza accurato,Accurato,Accurato,Empty
24,ArtBias,3,4,2,Empty,False,Abbastanza imparziale,Imparziale,Abbastanza di parte,Empty
24,LedePres,1,2,2,Empty,True,No,Si,Si,Empty
25,HeadAcc1,3,4,4,Empty,False,Abbastanza accurato,Accurato,Accurato,Empty
25,ArtBias,3,4,3,Empty,False,Abbastanza imparziale,Imparziale,Abbastanza imparziale,Empty
27,SensLang,4,3,4,Empty,False,Neutro,Abbastanza neutro,Neutro,Empty
27,HeadAcc1,3,4,4,Empty,False,Abbastanza accurato,Accurato,Accurato,Empty
28,HeadAcc1,2,3,4,Empty,False,Abbastanza inaccurato,Abbastanza accurato,Accurato,Empty
28,NegTarg2,['2'],['4'],['2'],Empty,True,"{'1': 'Politica', '2': 'Gender', '3': 'Religione', '4': 'Altro'}","{'1': 'Politica', '2': 'Gender', '3': 'Religione', '4': 'Altro'}","{'1': 'Politica', '2': 'Gender', '3': 'Religione', '4': 'Altro'}",Empty
29,LedePres,2,1,2,Empty,True,Si,No,Si,Empty
30,ArtBias,3,4,4,Empty,False,Abbastanza imparziale,Imparziale,Imparziale,Empty
31,NegTarg2,['4'],[],['1'],Empty,True,"{'1': 'Politica', '2': 'Gender', '3': 'Religione', '4': 'Altro'}","{'1': 'Politica', '2': 'Gender', '3': 'Religione', '4': 'Altro'}","{'1': 'Politica', '2': 'Gender', '3': 'Religione', '4': 'Altro'}",Empty
33,LedePres,1,2,1,Empty,True,No,Si,No,Empty
34,HeadAcc1,2,3,3,Empty,False,Abbastanza inaccurato,Abbastanza accurato,Abbastanza accurato,Empty
34,LedePres,1,2,1,Empty,True,No,Si,No,Empty
36,ArtBias,3,4,3,Empty,False,Abbastanza imparziale,Imparziale,Abbastanza imparziale,Empty
36,SensLang,3,4,3,Empty,False,Abbastanza neutro,Neutro,Abbastanza neutro,Empty
36,Type,1,5,5,Empty,True,"Notizia di cronaca, attualita’, notizia che riguarda il paese o notizia internazionale",Notizia di costume o cronaca rosa,Notizia di costume o cronaca rosa,Empty
36,HeadAcc1,3,4,4,Empty,False,Abbastanza accurato,Accurato,Accurato,Empty
37,NegTarg1,1,2,1,Empty,True,No,Si,No,Empty
37,SensLang,1,4,2,Empty,True,Sensazionale,Neutro,Abbastanza sensazionale,Empty
37,HeadAcc1,2,3,3,Empty,False,Abbastanza inaccurato,Abbastanza accurato,Abbastanza accurato,Empty
37,ArtBias,2,4,3,Empty,True,Abbastanza di parte,Imparziale,Abbastanza imparziale,Empty
37,NegTarg2,['4'],[],['1'],Empty,True,"{'1': 'Politica', '2': 'Gender', '3': 'Religione', '4': 'Altro'}","{'1': 'Politica', '2': 'Gender', '3': 'Religione', '4': 'Altro'}","{'1': 'Politica', '2': 'Gender', '3': 'Religione', '4': 'Altro'}",Empty
38,LedePres,1,2,2,Empty,True,No,Si,Si,Empty
39,SensLang,3,4,3,Empty,False,Abbastanza neutro,Neutro,Abbastanza neutro,Empty
41,NegTarg2,['4'],[],['2'],Empty,True,"{'1': 'Politica', '2': 'Gender', '3': 'Religione', '4': 'Altro'}","{'1': 'Politica', '2': 'Gender', '3': 'Religione', '4': 'Altro'}","{'1': 'Politica', '2': 'Gender', '3': 'Religione', '4': 'Altro'}",Empty
41,HeadAcc1,3,4,4,Empty,False,Abbastanza accurato,Accurato,Accurato,Empty
41,NegTarg1,1,2,1,Empty,True,No,Si,No,Empty
42,SensLang,2,3,2,Empty,False,Abbastanza sensazionale,Abbastanza neutro,Abbastanza sensazionale,Empty
42,HeadAcc1,3,4,4,Empty,False,Abbastanza accurato,Accurato,Accurato,Empty
44,HeadAcc1,4,3,4,Empty,False,Accurato,Abbastanza accurato,Accurato,Empty
46,SensLang,3,4,3,Empty,False,Abbastanza neutro,Neutro,Abbastanza neutro,Empty
46,HeadAcc1,3,4,4,Empty,False,Abbastanza accurato,Accurato,Accurato,Empty
49,NegTarg2,['4'],[],['1'],Empty,True,"{'1': 'Politica', '2': 'Gender', '3': 'Religione', '4': 'Altro'}","{'1': 'Politica', '2': 'Gender', '3': 'Religione', '4': 'Altro'}","{'1': 'Politica', '2': 'Gender', '3': 'Religione', '4': 'Altro'}",Empty
50,LedePres,1,2,1,Empty,True,No,Si,No,Empty
51,ArtBias,3,4,3,Empty,False,Abbastanza imparziale,Imparziale,Abbastanza imparziale,Empty
52,LedePres,1,2,1,Empty,True,No,Si,No,Empty
54,Type,3,4,3,Empty,True,Inchiesta,Satira,Inchiesta,Empty
54,LedePres,2,1,1,Empty,True,Si,No,No,Empty
55,LedePres,2,1,2,Empty,True,Si,No,Si,Empty
55,HeadAcc1,3,4,4,Empty,False,Abbastanza accurato,Accurato,Accurato,Empty
55,ArtBias,3,4,4,Empty,False,Abbastanza imparziale,Imparziale,Imparziale,Empty
57,ArtBias,3,4,3,Empty,False,Abbastanza imparziale,Imparziale,Abbastanza imparziale,Empty
59,HeadAcc1,2,3,3,Empty,False,Abbastanza inaccurato,Abbastanza accurato,Abbastanza accurato,Empty
59,SensLang,2,3,3,Empty,False,Abbastanza sensazionale,Abbastanza neutro,Abbastanza neutro,Empty
61,ArtBias,3,4,4,Empty,False,Abbastanza imparziale,Imparziale,Imparziale,Empty
61,HeadAcc1,3,4,4,Empty,False,Abbastanza accurato,Accurato,Accurato,Empty
62,SensLang,3,4,4,Empty,False,Abbastanza neutro,Neutro,Neutro,Empty
62,Type,2,5,2,Empty,True,Editoriale o opinione,Notizia di costume o cronaca rosa,Editoriale o opinione,Empty
62,HeadAcc1,3,2,3,Empty,False,Abbastanza accurato,Abbastanza inaccurato,Abbastanza accurato,Empty
65,HeadAcc1,3,4,3,Empty,False,Abbastanza accurato,Accurato,Abbastanza accurato,Empty
65,SensLang,3,4,3,Empty,False,Abbastanza neutro,Neutro,Abbastanza neutro,Empty
66,LedePres,1,2,1,Empty,True,No,Si,No,Empty
66,HeadAcc1,4,3,4,Empty,False,Accurato,Abbastanza accurato,Accurato,Empty
67,HeadAcc1,3,4,3,Empty,False,Abbastanza accurato,Accurato,Abbastanza accurato,Empty
67,SensLang,3,4,3,Empty,False,Abbastanza neutro,Neutro,Abbastanza neutro,Empty
68,ArtBias,2,3,1,Empty,False,Abbastanza di parte,Abbastanza imparziale,Di parte,Empty
68,Type,1,2,1,Empty,True,"Notizia di cronaca, attualita’, notizia che riguarda il paese o notizia internazionale",Editoriale o opinione,"Notizia di cronaca, attualita’, notizia che riguarda il paese o notizia internazionale",Empty
68,HeadAcc1,2,3,3,Empty,False,Abbastanza inaccurato,Abbastanza accurato,Abbastanza accurato,Empty
69,NegTarg2,['4'],[],['4'],Empty,True,"{'1': 'Politica', '2': 'Gender', '3': 'Religione', '4': 'Altro'}","{'1': 'Politica', '2': 'Gender', '3': 'Religione', '4': 'Altro'}","{'1': 'Politica', '2': 'Gender', '3': 'Religione', '4': 'Altro'}",Empty
69,LedePres,1,2,2,Empty,True,No,Si,Si,Empty
69,NegTarg1,1,2,1,Empty,True,No,Si,No,Empty
70,HeadAcc1,3,4,4,Empty,False,Abbastanza accurato,Accurato,Accurato,Empty
71,HeadAcc1,3,4,4,Empty,False,Abbastanza accurato,Accurato,Accurato,Empty
74,NegTarg2,['2'],[],['-1'],Empty,True,"{'1': 'Politica', '2': 'Gender', '3': 'Religione', '4': 'Altro'}","{'1': 'Politica', '2': 'Gender', '3': 'Religione', '4': 'Altro'}","{'1': 'Politica', '2': 'Gender', '3': 'Religione', '4': 'Altro'}",Empty
75,HeadAcc1,3,4,4,Empty,False,Abbastanza accurato,Accurato,Accurato,Empty
75,SensLang,3,4,2,Empty,False,Abbastanza neutro,Neutro,Abbastanza sensazionale,Empty
75,LedePres,2,1,1,Empty,True,Si,No,No,Empty
75,Type,1,2,1,Empty,True,"Notizia di cronaca, attualita’, notizia che riguarda il paese o notizia internazionale",Editoriale o opinione,"Notizia di cronaca, attualita’, notizia che riguarda il paese o notizia internazionale",Empty
75,ArtBias,3,4,3,Empty,False,Abbastanza imparziale,Imparziale,Abbastanza imparziale,Empty
77,SensLang,3,4,3,Empty,False,Abbastanza neutro,Neutro,Abbastanza neutro,Empty
77,HeadAcc1,2,3,4,Empty,False,Abbastanza inaccurato,Abbastanza accurato,Accurato,Empty
78,ArtBias,3,4,4,Empty,False,Abbastanza imparziale,Imparziale,Imparziale,Empty
78,HeadAcc1,3,4,4,Empty,False,Abbastanza accurato,Accurato,Accurato,Empty
79,LedePres,1,2,2,Empty,True,No,Si,Si,Empty
80,HeadAcc1,3,4,4,Empty,False,Abbastanza accurato,Accurato,Accurato,Empty
80,LedePres,1,2,1,Empty,True,No,Si,No,Empty
81,HeadAcc1,3,4,4,Empty,False,Abbastanza accurato,Accurato,Accurato,Empty
82,HeadAcc1,2,3,3,Empty,False,Abbastanza inaccurato,Abbastanza accurato,Abbastanza accurato,Empty
83,SensLang,3,4,3,Empty,False,Abbastanza neutro,Neutro,Abbastanza neutro,Empty
84,HeadAcc1,2,3,3,Empty,False,Abbastanza inaccurato,Abbastanza accurato,Abbastanza accurato,Empty
85,SensLang,4,2,3,Empty,True,Neutro,Abbastanza sensazionale,Abbastanza neutro,Empty
86,HeadAcc1,2,4,4,Empty,True,Abbastanza inaccurato,Accurato,Accurato,Empty
86,LedePres,2,1,2,Empty,True,Si,No,Si,Empty
